#genome	total_length	unique_name
G000719115	8645000	Lentzea albidocapillata
G000719135	6481626	Streptomyces avicenniae
G000719195	8177499	Streptomyces californicus
G000719205	10652788	Lentzea aerocolonigenes
G000719265	7207377	Streptomyces roseoverticillatus
G000719285	9485524	Streptomyces bicolor
G000719955	7086973	Streptomyces albidoflavus
G000720335	4164336	Marmoricola aequoreus
G000720425	7665563	Nocardia rhamnosiphila
G000720455	8321178	Streptomyces virginiae
G000720475	9325582	Streptomyces aureocirculatus
G000720485	8411490	Streptomyces ochraceiscleroticus
G000720535	7742918	Streptomyces halstedii
G000720755	10040119	Streptomyces flaveus
G000720835	8115650	Streptomyces achromogenes
G000720925	3987465	Phycicoccus jejuensis
G000720965	6948776	Actinocatenispora sera
G000720995	8680361	Streptomyces celluloflavus
G000721075	9445637	Streptosporangium amethystogenes
G000721105	10066699	Streptomyces cellulosae
G000721175	8405674	Streptomyces anulatus
G000721185	7540299	Streptomyces griseolus
G000721255	7414581	Streptomyces avellaneus
G000721705	11261636	Actinoplanes subtropicus
G000721755	25798196	Aureobasidium subglaciale
G000721765	25429521	Aureobasidium namibiae
G000721785	29624778	Aureobasidium pullulans
G000722545	8035175	Paenibacillus tyrfis
G000722615	5135826	Pseudorhizobium pelagicum
G000722635	6342827	Endozoicomonas numazuensis
G000722885	4568738	Pedobacter antarcticus
G000723165	5949001	Janthinobacterium agaricidamnosum
G000723205	4228350	Formosa agariphila
G000723225	1437716	Wolbachia endosymbiont of Culex molestus
G000723385	6139973	Mycolicibacterium farcinogenes
G000723405	5290595	Hydrogenophaga intermedia
G000723425	6450542	Mycobacterium marinum
G000723465	2968520	Ruminococcus bicirculans
G000723505	3149227	Mucinivorans hirudinis
G000723585	4353297	Virgibacillus massiliensis
G000723885	6936887	Paenibacillus camerounensis
G000724085	3807446	Oceanobacillus manasiensis
G000724485	3425248	Bacillus methanolicus
G000724625	5231762	Fimbriimonas ginsengisoli
G000724775	4843789	Lysinibacillus fusiformis
G000725125	7342694	Streptomyces toyocaensis
G000725365	3577102	Terribacillus goriensis
G000725385	4831185	Dyella japonica
G000725405	3113662	Dermacoccus nishinomiyaensis
G000725425	1859370	Palaeococcus pacificus
G000725475	9316714	Streptomyces durhamensis
G000725485	11010808	Nonomuraea candida
G000725495	9930653	Streptomyces aureus
G000725555	7510044	Streptomyces erythrochromogenes
G000725785	8765062	Streptomyces flavovariabilis
G000725805	8625174	Streptomyces xanthophaeus
G000730165	7382446	Nitrospirillum amazonense
G000730385	4308833	Alteromonas australica
G000730475	5722293	Photobacterium sanctipauli
G000730585	6666350	Pseudomonas japonica
G000731315	6455047	Neorhizobium galegae
G000731675	5940583	Pseudomonas capeferrum
G000731915	1013502	Ureaplasma diversum
G000731955	3554780	Halomonas zincidurans
G000731985	3774515	Natrinema altunense
G000732125	43440639	Scedosporium apiospermum
G000732195	6344709	Rhizobium vignae
G000732535	4284129	Salinisphaera hydrothermalis
G000732615	8637071	Burkholderia paludis
G000732625	3212270	Nonlabens ulvanivorans
G000732635	3719320	Clostridium sulfidigenes
G000732725	4676127	Kineothrix alysoides
G000732925	9053877	Amycolatopsis japonica
G000732945	2359468	Corynebacterium atypicum
G000733125	3355244	Parvularcula oceani
G000733295	12546362	Archangium violaceum
G000733475	2670233	Mangrovimonas yunxiaonensis
G000733765	3805701	Algiphilus aromaticivorans
G000733845	3389115	Geobacillus vulcani
G000733855	4526131	Methylomicrobium agile
G000733865	850250	Mycoplasma buteonis
G000733935	4335162	Methylomarinum vadi
G000734015	1764045	Thermodesulfobacterium commune
G000734965	4935291	Trabulsiella guamensis
G000735045	2715091	Ferrovum myxofaciens
G000735105	4236810	Chryseobacterium halperniae
G000735345	4869630	Ewingella americana
G000735355	4727656	Buttiauxella agrestis
G000735365	4937394	Kluyvera ascorbata
G000735695	2847637	Chryseobacterium haifense
G000735715	5592429	Flavobacterium chungangense
G000736415	1754658	Campylobacter iguaniorum
G000737065	3929363	Thioclava atlantica
G000737315	11187043	Hyalangium minutum
G000737325	10327335	Sandaracinus amylolyticus
G000737685	5501621	Flavobacterium reichenbachii
G000737695	5879631	Flavobacterium hydatis
G000737705	4754978	Chryseobacterium soli
G000737765	5488182	Chryseobacterium vrystaatense
G000737785	4719506	Chryseobacterium luteum
G000737845	1895299	Bifidobacterium bombi
G000737865	1755151	Bifidobacterium coryneforme
G000738005	2362916	Bifidobacterium crudilactis
G000738675	5224940	Serratia nematodiphila
G000738775	5139657	Rhodococcus defluvii
G000739045	7829929	Streptomyces luteus
G000739065	1607556	Methanocaldococcus bathoardescens
G000739085	7237391	Amycolatopsis methanolica
G000739375	6062703	Comamonas testosteroni
G000739435	2501598	Actinobacillus suis
G000739475	992735	Borreliella valaisiana
G000739555	2956401	Halolamina rubra
G000739575	3853819	Halobellus rufus
G000739595	3680024	Halorubrum halophilum
G000739695	3476636	Tepidicaulis marinus
G000739735	6542867	Paraburkholderia ginsengisoli
G000739775	8009650	Paraburkholderia heleia
G000739795	6797343	Paraburkholderia kururiensis
G000739895	4329062	Sphingomonas paucimobilis
G000739935	5294484	Agrobacterium rubi
G000739995	3506646	Comamonas granuli
G000740015	4722874	Vibrio diazotrophicus
G000740055	1862234	Lactobacillus oryzae
G000740775	3961508	Haematobacter missouriensis
G000740785	3441811	Paenirhodobacter enshiensis
G000740895	9010464	Theileria orientalis
G000741165	3253247	Bifidobacterium biavatii
G000741175	2887953	Bifidobacterium callitrichos
G000741205	2004814	Bifidobacterium gallicum
G000741255	1822716	Bifidobacterium magnum
G000741285	2171330	Bifidobacterium mongoliense
G000741375	2263543	Bifidobacterium saeculare
G000741525	2052550	Bifidobacterium bohemicum
G000741535	2171696	Bifidobacterium boum
G000741575	2532392	Bifidobacterium cuniculi
G000741615	2280534	Bifidobacterium merycicum
G000741645	1893200	Bifidobacterium minimum
G000741695	2848112	Bifidobacterium reuteri
G000741705	2615278	Bifidobacterium psychraerophilum
G000741715	2787676	Bifidobacterium saguini
G000741765	2164906	Bifidobacterium tsurumiense
G000741775	2790608	Bifidobacterium subtile
G000741785	2813644	Bifidobacterium stellenboschense
G000742255	3329464	Brucella neotomae
G000743535	2978056	Arenimonas donghaensis
G000743575	5054474	Devosia riboflavina
G000743715	3850411	Palleronia rufa
G000743755	12945355	Blastocystis sp. subtype 4
G000743945	1959069	Basilea psittacipulmonis
G000744065	742972	'Chrysanthemum coronarium' phytoplasma
G000744105	4514366	Maribacter forsetii
G000744115	2616990	Carnobacterium alterfunditum
G000744175	2562394	Thermus tengchongensis
G000744185	2352459	Carnobacterium funditum
G000744225	8681881	Kitasatospora mediocidica
G000744255	2619222	Carnobacterium divergens
G000744285	2662676	Carnobacterium pleistocenium
G000744315	4064496	Methanosarcina soligelidi
G000744375	4041508	Carnobacterium gallinarum
G000744415	2163792	Ghiorsea bivora
G000744435	1715116	Hippea jasoniae
G000744505	7316149	Rhizobium alamii
G000744655	9002920	Streptacidiphilus rugosus
G000744705	9915093	Streptacidiphilus albus
G000744735	2474654	Porticoccus hydrocarbonoclasticus
G000744775	2934681	Thermorudis peleae
G000744785	8272339	Kitasatospora azatica
G000744815	7806643	Streptacidiphilus oryzae
G000744825	2632967	Carnobacterium mobile
G000744885	2160955	Thermus amyloliquefaciens
G000745065	2218174	Thermus caliditerrae
G000745125	2518464	Carnobacterium jeotgali
G000745345	7819494	Streptomyces yeochonensis
G000745425	4321657	Beijerinckia mobilis
G000745455	2173749	Mesoaciditoga lauensis
G000745485	3369795	Methanobacterium veterum
G000745675	7309946	Streptomyces atratus
G000745715	10044243	Streptomyces mirabilis
G000745835	6732713	Belnapia moabensis
G000745855	6537793	Xenophilus azovorans
G000745895	2612424	Stenoxybacter acetivorans
G000745905	2931053	Ferrimicrobium acidiphilum
G000745915	5080270	Deinococcus misasensis
G000745975	4468475	Desulfobacter vibrioformis
G000746025	3651745	Thermoanaerosceptrum fracticalcis
G000746075	3394603	Methanobacterium arcticum
G000746085	3971907	Methylocapsa aurea
G000746255	1687484	Thermodesulfobacterium hydrogeniphilum
G000746525	5764622	Pseudomonas alkylphenolica
G000746845	3160273	Altibacter lentus
G000747075	3118478	Arenimonas malthae
G000747155	3057902	Arenimonas metalli
G000747665	2835212	Thermoanaerobacterium saccharolyticum
G000747765	18115885	Moesziomyces antarcticus
G000749845	4687053	Pectobacterium betavasculorum
G000750005	3461930	Geobacillus icigianus
G000750535	1390397	Weissella ceti
G000750635	5388321	Oceanobacillus jeddahense
G000750955	2970044	Criblamydia sequanensis
G000751075	1453736	Rickettsia tamurae
G000751295	7130865	bacterium YEK0313
G000751555	3198222	Anaerosalibacter massiliensis
G000751595	2563841	Weeksella massiliensis
G000751835	2526627	Necropsobacter rosorum
G000751855	2132089	Kingella negevensis
G000752035	4310209	Bacillus rubiinfantis
G000752095	2933052	bacterium LF-3
G000752215	3738042	bacterium MS4
G000752475	2557033	Haemophilus massiliensis
G000752675	2456743	bacterium OL-1
G000753355	3761488	Clostridium amazonitimonense
G000753715	2480596	Idiomarina salinarum
G000753735	2704070	Idiomarina atlantica
G000753795	4216754	Shewanella mangrovi
G000753815	1084298	Mycoplasma ovipneumoniae
G000754225	3966927	Cobetia amphilecti
G000754275	2271840	Pasteurella multocida
G000754405	2715909	Flavobacterium psychrophilum
G000755145	2800582	Treponema putidum
G000755165	30689474	Leishmania panamensis
G000755245	3764887	Halococcus sediminicola
G000756615	6053518	Paenibacillus durus
G000756655	3629951	Alcanivorax jadensis
G000756665	4133484	Alcanivorax nanhaiticus
G000756715	2191063	Jeotgalicoccus saudimassiliensis
G000756775	3673759	Pseudomonas saudiphocaensis
G000756795	2858786	Erythrobacter vulgaris
G000756815	4387147	Legionella massiliensis
G000757385	3490976	Flavobacterium aquatile
G000757425	4413498	Tatumella morbirosei
G000757725	4597363	Sphingobacterium deserti
G000757785	5489680	Pluralibacter gergoviae
G000757795	6286629	Methylobacterium oryzae
G000757825	4876443	Cedecea neteri
G000757885	5988901	Paenibacillus wynnii
G000757905	2954243	Arsenophonus endosymbiont of Nilaparvata lugens
G000758165	3534329	Spirochaeta lutea
G000758665	8156808	Paenibacillus borealis
G000758685	5658798	Paenibacillus stellifer
G000758705	7166464	Paenibacillus graminis
G000758725	6812473	Paenibacillus odorifer
G000758965	3044097	Corynebacterium freneyi
G000758985	2477268	Pseudoglutamicibacter albus
G000759025	7872038	Phaeodactylibacter xiamenensis
G000759055	2229400	Corynebacterium tuscaniense
G000759345	3786811	Halomonas xinjiangensis
G000759445	5647577	Pseudomonas lutea
G000759475	4327607	Pantoea rwandensis
G000759535	4780403	Pseudomonas cremoricolorata
G000759695	5312020	Mycobacterium kyorinense
G000759715	2969376	Lysinimicrobium mangrovi
G000759795	4375661	Pseudescherichia vulneris
G000759835	4632046	Citrobacter sedlakii
G000760515	5647252	Mitosporidium daphniae
G000760695	9949099	Tolypothrix bouteillei
G000761155	4688635	Pseudomonas rhizosphaerae
G000761215	7623794	Streptomyces glaucescens
G000761445	3380058	Oleiagrimonas soli
G000761475	3661531	Chromohalobacter israelensis
G000761485	4956412	Modestobacter caceresii
G000761495	3860629	Acinetobacter idrijaensis
G000762265	2449987	Methanobacterium formicicum
G000762845	1946225	Helicobacter japonicus
G000762875	2723107	Helicobacter saguini
G000763135	1905330	Helicobacter jaachi
G000763295	4270954	Thalassospira australica
G000763315	3443272	Thermoactinomyces daqus
G000763375	3369577	Microbacterium profundi
G000763575	2397824	Thermoanaerobacter kivui
G000763805	3361427	Paracoccus sphaerophysae
G000763885	5504468	Paracoccus versutus
G000763905	4015271	Paracoccus halophilus
G000764025	3214003	Pseudohaliea rubra
G000764165	4361326	Cryobacterium roopkundense
G000764325	4439411	Vibrio navarrensis
G000764535	4061942	Sphingomonas taxi
G000764645	4725007	Aeromonas finlandiensis
G000764655	4585704	Aeromonas aquatica
G000764665	4398273	Aeromonas lacus
G000765805	2226682	Helicobacter muridarum
G000765825	2075343	Helicobacter magdeburgensis
G000765905	2448721	Helicobacter trogontum
G000766145	3516356	Listeria newyorkensis
G000766865	3437556	Listeria booriae
G000766945	5184689	Cellvibrio mixtus
G000767055	2699015	Corynebacterium doosanense
G000767135	3917823	Cellulomonas cellasea
G000767165	3193821	Cellulomonas bogoriensis
G000767175	3984926	Cellulomonas carbonis
G000767255	2569502	Corynebacterium auriscanis
G000767275	2237377	Fervidobacterium islandicum
G000767465	5457678	Novosphingobium pentaromativorans
G000767615	5389285	Pandoraea pnomenusa
G000767835	2064143	Streptococcus sinensis
G000768055	3831723	Alkalispirochaeta odontotermitis
G000768315	4939225	Pseudooceanicola atlanticus
G000768335	3087052	Lysobacter arseniciresistens
G000768345	3032617	Lysobacter concretionis
G000768355	3276842	Lysobacter daejeonensis
G000768575	2470269	Clostridium haemolyticum
G000768675	3563559	Knoellia flava
G000768685	3566696	Knoellia subterranea
G000768695	4092550	Knoellia aerolata
G000768705	3988263	Knoellia sinensis
G000769115	2202796	Porphyromonas canoris
G000769655	2126184	Thermococcus eurythermalis
G000769745	32363668	Penicillium expansum
G000769915	3801958	Flavobacterium beibuense
G000770305	4748088	Erwinia oleae
G000770585	3073975	Legionella norrlandica
G000770635	4284504	Pontibacillus yanchengensis
G000770675	3873714	Pontibacillus chungwhensis
G000770795	3274886	Lysobacter dokdonensis
G000771005	2221769	Bifidobacterium thermacidophilum
G000771405	2101688	Bifidobacterium pullorum
G000771745	2386861	Thermus filiformis
G000771875	2358108	Gallibacterium genomosp. 1
G000771895	2503805	Gallibacterium genomosp. 2
G000772065	6037884	Vibrio coralliilyticus
G000772105	5540437	Vibrio tubiashii
G000772535	2611407	Chelonobacter oris
G000772715	5063995	Xanthomonas vasicola
G000772915	1661283	Streptococcus phocae
G000772935	4565750	Lysinibacillus boronitolerans
G000772945	4048797	Lysinibacillus manganicus
G000772955	4018134	Lysinibacillus sinduriensis
G000772965	4003009	Lysinibacillus massiliensis
G000773015	4513999	Lysinibacillus odysseyi
G000773975	5752237	Erwinia typographi
G000774145	6320312	Pseudomonas mediterranea
G000775285	4333708	Neosynechococcus sphagnicola
G000775615	3206156	Pontibacillus litoralis
G000784335	4352498	Halopiger salifodinae
G000784355	2792604	Methanolacinia paynteri
G000784735	4351310	Dickeya undicola
G000785105	2095860	Lactobacillus curieae
G000785435	7318026	Paraburkholderia sacchari
G000785495	5637360	Pimelobacter simplex
G000785705	5172098	Methylomonas denitrificans
G000785985	9492643	Actinoplanes utahensis
G000786195	3781122	Kocuria polaris
G000787375	4867224	Bacillus okhensis
G000787395	2702557	Solemya velum gill symbiont
G000787575	31005063	Acytostelium subglobosum
G000787715	3997042	Sphingomonas parapaucimobilis
G000787775	8460040	Streptacidiphilus carbonis
G000787795	9530634	Streptacidiphilus jiangxiensis
G000787815	8421879	Streptacidiphilus neutrinimicus
G000787835	8774039	Streptacidiphilus melanogenes
G000787855	9389459	Streptacidiphilus anmyonensis
G000788395	4816007	Pseudoalteromonas piratica
G000789235	3953310	Flaviramulus ichthyoenteri
G000789255	1860815	Geoglobus acetivorans
G000789395	3338650	Clostridium baratii
G000797445	4018434	Lacinutrix jangbogonensis
G000797465	3634757	Psychroserpens jangbogonensis
G000797495	7392035	Robinsoniella peoriensis
G000800255	5087619	Pseudomonas parafulva
G000800295	1627009	Parvimonas micra
G000800395	3531443	Deinococcus swuensis
G000800475	2032698	Bifidobacterium pseudolongum
G000801275	6322175	Vibrio nigripulchritudo
G000801295	2597759	endosymbiont of unidentified scaly snail isolate Monju
G000802225	5028701	Novosphingobium malaysiense
G000802235	4419181	Sinomonas humi
G000802245	7346075	Streptomyces pluripotens
G000802305	4417681	Microbacterium mangrovi
G000802385	3482521	Croceibacterium mercuriale
G000802405	4842651	Xanthomonas cannabis
G000803215	4153644	Pectobacterium fontis
G000803265	2290808	Ordospora colligata
G000803325	664719	Chrysanthemum yellows phytoplasma
G000803645	5202192	Sphingopyxis fribergensis
G000805385	6265449	Mycolicibacterium setense
G000806415	3748702	Pseudomonas flexibilis
G000807255	4352101	Clostridium pasteurianum
G000807275	2692351	Frischella perrara
G000807675	4422837	Eubacterium limosum
G000807775	5592065	Pandoraea fibrosis
G000807855	6610726	Flammeovirga pacifica
G000807925	4887002	Novosphingobium subterraneum
G000808015	3990174	Terrisporobacter othiniensis
G000808575	4315876	Alteromonas marina
G000811985	9340355	Nocardia vulneris
G000812025	3808282	Quasibacillus thermotolerans
G000812665	4376140	Halocynthiibacter arcticus
G000812685	3536972	Halocynthiibacter namhaensis
G000812875	2345496	Chryseobacterium solincola
G000812965	6359962	Pedobacter kyungheensis
G000813125	4759135	Bacillus selenatarsenatis
G000813245	1754190	Thermofilum adornatum
G000813345	2630184	Sulfurospirillum arsenophilum
G000813705	2455289	Morococcus cerebrosus
G000813765	3409512	Brevundimonas nasdae
G000813825	4127208	Chryseobacterium taiwanense
G000814165	4061810	Acinetobacter nosocomialis
G000814475	5412139	Flavihumibacter solisilvae
G000814675	4533368	Pseudoalteromonas distincta
G000814845	5742997	Pandoraea sputorum
G000814965	37067986	Metarhizium brunneum
G000815025	656901	Coxiella endosymbiont of Amblyomma americanum
G000815065	778866	Mycoplasma flocculare
G000815105	5867621	Pandoraea pulmonicola
G000815225	1661547	Allofrancisella guangzhouensis
G000816045	4532364	Dickeya zeae
G000816085	2472129	Staphylococcus hyicus
G000816105	1920914	Thermococcus guaymasensis
G000816145	2165416	Pseudothermotoga hypogea
G000816185	1465081	Campylobacter insulaenigrae
G000816305	1852995	Campylobacter subantarcticus
G000816495	2899885	Acinetobacter harbinensis
G000816575	3657348	Geobacter soli
G000816785	1762833	Campylobacter peloridis
G000817735	5970000	Scytonema millei
G000817775	5815145	Lyngbya confervoides
G000817785	7505875	Hassallia byssoidea
G000817955	3618700	Geobacter pickeringii
G000817975	5192406	Azotobacter chroococcum
G000818015	4383480	Pseudomonas balearica
G000818035	2256647	Neisseria elongata
G000818095	4119529	Jeotgalibacillus malaysiensis
G000818395	5385145	Noviherbaspirillum autotrophicum
G000819445	2681312	Corynebacterium humireducens
G000819545	7714110	Streptomyces nodosus
G000819565	4969488	Celeribacter indicus
G000819685	4666221	Aeromonas allosaccharophila
G000819725	4112275	Aeromonas australiensis
G000819745	4691620	Aeromonas bestiarum
G000819765	4303829	Aeromonas bivalvium
G000819865	4540479	Aeromonas eucrenophila
G000819885	3905728	Aeromonas fluvialis
G000819955	4501490	Aeromonas jandaei
G000820005	5179770	Aeromonas piscicola
G000820025	4764553	Aeromonas popoffii
G000820045	4536167	Aeromonas rivuli
G000820085	4188843	Aeromonas sanarellii
G000820125	3989674	Aeromonas simiae
G000820145	4684609	Aeromonas sobria
G000820185	4756221	Aeromonas tecta
G000820205	4337765	Aeromonas enteropelogenes
G000820505	3840132	Geoalkalibacter ferrihydriticus
G000820515	6609296	Pseudomonas batumici
G000820525	2300751	Spiroplasma poulsonii
G000820705	3563938	Clostridium polynesiense
G000820725	2884609	Actinomyces polynesiensis
G000820845	3788860	Pyrinomonas methylaliphatogenes
G000821045	3376503	Chromohalobacter japonicus
G000821065	4608004	Oceanobacillus oncorhynchi
G000821105	4259215	Halomonas salina
G000821225	6051316	Pseudomonas rhodesiae
G000821245	3925062	Virgibacillus senegalensis
G000821325	3357017	Planococcus massiliensis
G000825685	1484832	Rickettsia hoogstraalii
G000825765	1418630	Ehrlichia minasensis
G000826065	3212505	Tessaracoccus massiliensis
G000826085	2934298	Nigerium massiliense
G000826105	4723654	Pseudomonas massiliensis
G000826145	2914509	Sporosarcina koreensis
G000826185	3693164	Microbacterium gorillae
G000826205	4987723	Citrobacter pasteurii
G000826525	3843009	Mobilicoccus massiliensis
G000826645	3681922	Psychroserpens mesophilus
G000826655	3947864	Psychroserpens damuponensis
G000826685	5916511	Streptomonospora alba
G000827005	8384669	Streptomyces albus
G000827125	3717665	Geoalkalibacter subterraneus
G000827555	2580191	Capnocytophaga canis
G000827595	2494240	Necropsobacter massiliensis
G000827885	4340298	Vibrio renipiscarius
G000828055	5521203	Klebsiella variicola
G000828075	9469641	Tolypothrix campylonemoides
G000828085	7893869	Scytonema tolypothrichoides
G000828125	1378483	Rickettsia asembonensis
G000828475	3424964	Methyloceanibacter caenitepidi
G000828615	3153677	Thiolapillus brandeum
G000828635	3802648	Sulfuritalea hydrogenivorans
G000828655	2014912	Thermotoga caldifontis
G000828675	2187612	Thermotoga profunda
G000828835	4810005	Thioploca ingrica
G000828855	693241	Mycoplasma canadense
G000828895	2574013	Serpentinomonas raichei
G000828915	2623256	Serpentinomonas mccroryi
G000829035	3017844	Lactobacillus paracasei
G000829055	2953001	Lactobacillus casei
G000829235	2794318	cyanobacterium endosymbiont of Epithemia turgida
G000829315	1250060	Wolbachia endosymbiont of Cimex lectularius
G000829395	2400626	Lactobacillus hokkaidonensis
G000829435	3777413	Jeotgalibacillus soli
G000829445	3365365	Jeotgalibacillus alimentarius
G000829465	4345377	Cohnella kolymensis
G000829515	3650950	Jeotgalibacillus campisalis
G000829675	3964794	Acinetobacter rudis
G000829825	4524635	Magnetospirillum magnetotacticum
G000829905	2850686	Beduini massiliensis
G000830505	4612699	Vibrio mytili
G000830985	3975896	Marinobacter similis
G000831005	4616532	Marinobacter salarius
G000831385	2915920	Nonlabens marinus
G000831485	2086959	Streptococcus iniae
G000831645	2790548	Lactobacillus heilongjiangensis
G000832015	4190861	Gilvimarinus agarilyticus
G000832075	3386516	Sanguibacteroides justesenii
G000832125	5284252	Flavobacterium hibernum
G000832305	8421503	Cupriavidus basilensis
G000832545	5992187	Pedobacter lusitanus
G000832605	5637113	Bacillus mycoides
G000832985	5746760	Bacillus megaterium
G000833025	4064534	Myroides profundi
G000833105	6485394	Clostridium beijerinckii
G000833375	1910592	Francisella tularensis
G000833455	2017400	Francisella philomiragia
G000833605	2833807	Anoxybacillus ayderensis
G000833995	3121860	Prevotella pectinovora
G000834215	4550914	Yersinia frederiksenii
G000834395	4471090	Yersinia aldovae
G000834455	4372253	Yersinia rohdei
G000834865	4496569	Yersinia kristensenii
G000835165	2729259	Corynebacterium marinum
G000835455	34689080	Fonsecaea pedrosoi
G000835475	36723732	Cladophialophora bantiana
G000835495	43034672	Cladophialophora immunda
G000835505	31406040	Exophiala xenobiotica
G000835515	38227354	Exophiala oligosperma
G000835555	32474751	Rhinocladiella mackenziei
G000836115	32912889	Exophiala spinifera
G000836275	29273883	Exophiala mesophila
G000836295	31787789	Verruconis gallopava
G000836435	33448395	Fonsecaea multimorphosa
G000836635	7966297	Kitasatospora griseola
G000836725	2740068	Anoxybacillus thermarum
G000836805	4529	Chlamydia virus CPG1
G000836945	168903	Escherichia virus T4
G000839085	220	Rice yellow mottle virus satellite
G000844925	60942	Enterobacteria phage VT2-Sakai
G000846145	6087	Escherichia virus alpha3
G000846805	34125	Human mastadenovirus A
G000847425	9550	Pegivirus A
G000849665	4563	Chlamydia virus Chp2
G000851485	826	Panicum papanivirus 1
G000853245	5731	Yellowtail ascites virus
G000854845	15894	Measles morbillivirus
G000855585	18875	Sudan ebolavirus
G000856665	13026	Influenza C virus
G000857085	34794	Human mastadenovirus B
G000857325	19111	Marburg marburgvirus
G000860865	12704	Alphaarterivirus equid
G000860965	10155	Papaya leaf distortion mosaic virus
G000861085	10962	West Nile virus
G000861165	7440	Enterovirus C
G000861845	9646	Hepacivirus C
G000862145	10976	Japanese encephalitis virus
G000862405	9399	Hepatitis GB virus B
G000862445	4148	Sesbania mosaic virus
G000863085	4449	Rice yellow mottle virus
G000863565	11014	Murray Valley encephalitis virus
G000863925	9623	Simian immunodeficiency virus
G000864005	7654	Norwalk virus
G000864765	9181	Human immunodeficiency virus 1
G000864885	29751	Severe acute respiratory syndrome-related coronavirus
G000865085	13767	Influenza A virus
G000866645	13600	Influenza A virus
G000868425	7382	Norwalk virus
G000871845	10723	Dengue virus
G000874105	1346	Okra leaf curl Mali virus satellite DNA beta
G000875755	895051	Mycoplasma yeatsii
G000875775	1713078	Nitrosopumilus piranensis
G000875895	3177140	Staphylococcus gallinarum
G000876205	1906333	Lactobacillus wasatchensis
G000877395	4100547	Jannaschia aquimarina
G000878195	6093631	Mycolicibacterium llatzerense
G000880355	2794	Tomato leaf curl Kumasi virus
G000880515	35343	Human mastadenovirus B
G000882815	10794	Zika virus
G000888475	18935	Tai Forest ebolavirus
G000894695	9660	Hippeastrum mosaic virus
G000896295	10731	Sweet potato virus 2
G000898155	9908	Cyrtanthus elatus virus A
G000901155	30119	Middle East respiratory syndrome-related coronavirus
G000907255	11279	Pegivirus J
G000928555	13331	Influenza A virus
G000931445	7762396	Streptomyces cyaneogriseus
G000931935	5936614	Dethiosulfatarculus sandiegensis
G000934465	2385559	Staphylococcus microti
G000934565	6143950	Pseudomonas simiae
G000934605	5736302	Pandoraea vervacti
G000934705	3998985	Marinobacter excellens
G000934725	4903815	Methyloterricola oryzae
G000934745	4635643	Desulfonatronum thioautotrophicum
G000934755	4812322	Desulfonatronovibrio magnus
G000934765	3104228	Thiomicrospira microaerophila
G000935025	5228409	Sphingomonas hengshuiensis
G000935125	8652970	Streptomyces natalensis
G000935165	3764434	Comamonas aquatica
G000935585	4478584	Acidovorax temperans
G000935675	5150821	Pseudomonas meliae
G000936425	8530815	Skermanella aerolata
G000938265	3921099	Agreia bicolorata
G000938715	11092591	Lachancea lanzarotensis
G000938975	12130662	Streptomyces iranensis
G000939975	3344251	Pseudomonas saudimassiliensis
G000940515	2186953	Mannheimia massilioguelmaensis
G000940805	6475959	Gynuella sunshinyii
G000940845	2649166	Propionibacterium freudenreichii
G000940955	1483344	Rickettsia raoultii
G000940995	5909433	Photobacterium gaetbulicola
G000941055	3303986	Siansivirga zeaxanthinifaciens
G000941075	1084449	Mycoplasma dispar
G000942395	3421318	Risungbinella massiliensis
G000943515	9490992	Amycolatopsis orientalis
G000943555	4021539	Tamlana nanhaiensis
G000943565	3962373	Tamlana sedimentorum
G000946815	3172921	Syntrophaceticus schinkii
G000947195	5006049	Shewanella algae
G000948175	6705609	Bacillus alveayuensis
G000948395	7627798	Frankia torreyi
G000948975	7423477	Thalassomonas actiniarum
G000948985	7715903	Thalassomonas viridans
G000949295	4023507	Acidithrix ferrooxidans
G000949455	4113218	Ruthenibacterium lactatiformans
G000949475	5992591	Draconibacterium sediminis
G000949865	5330432	Rhizobium nepotum
G000949955	4478936	Photobacterium phosphoreum
G000950005	4938652	Photobacterium angustum
G000950095	4711986	Photobacterium kishitanii
G000950265	4264959	Photobacterium iliopiscarium
G000950575	3599454	Psychromicrobium lacuslunae
G000951135	4654598	Rouxiella chamberiensis
G000952155	5266883	Aliterella atlantica
G000952855	3269932	Aequorivita vladivostokensis
G000953135	4434930	Legionella fallonii
G000953195	1587120	Acholeplasma oculi
G000953215	2229578	[Clostridium] cellulosi
G000953275	4293049	Clostridioides difficile
G000953355	4586682	Xenorhabdus nematophila
G000953475	2476671	Methylacidiphilum fumariolicum
G000953635	3310028	Tatlockia micdadei
G000953655	3570877	Legionella hackeliae
G000953695	4635226	Aliivibrio wodanis
G000953715	2053097	Defluviitoga tunisiensis
G000953735	5094029	Moritella viscosa
G000953855	3126518	Mizugakiibacter sediminis
G000954135	5072341	Ralstonia mannitolilytica
G000955725	2834482	Caldicellulosiruptor danielii
G000955735	2515205	Caldicellulosiruptor naganoensis
G000955745	2488503	Caldicellulosiruptor morganii
G000956175	1803090	Nitrosopumilus adriaticus
G000956335	25919482	Plasmodium fragile
G000956415	3559218	Microbacterium foliorum
G000956465	4525080	Microbacterium trichothecenolyticum
G000956535	3049053	Microbacterium ginsengisoli
G000956545	4039286	Microbacterium azadirachtae
G000956575	3923624	Microbacterium ketosireducens
G000959025	4031727	Bacillus intestinalis
G000959225	7446589	Burkholderia pseudomallei
G000959245	7189111	Burkholderia ubonensis
