#genome	domain	phylum	class	order	family	genus	species	total_length	unique_name
G000005825	Bacteria	 Firmicutes	 Bacilli	 Bacillales_H	 Bacillaceae_D	 Bacillus_S	 Bacillus_S pseudofirmus	4249288	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D; g__Bacillus_S; s__Bacillus_S pseudofirmus
G000016505	Bacteria	 Firmicutes_A	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_B	 Clostridium_B kluyveri	4023820	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_B; s__Clostridium_B kluyveri
G000016525	Archaea	 Methanobacteriota	 Methanobacteria	 Methanobacteriales	 Methanobacteriaceae	 Methanobrevibacter_A	 Methanobrevibacter_A smithii	1853160	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A; s__Methanobrevibacter_A smithii
G000016545	Bacteria	 Firmicutes_A	 Thermoanaerobacteria	 Caldicellulosiruptorales	 Caldicellulosiruptoraceae	 Caldicellulosiruptor	 Caldicellulosiruptor saccharolyticus	2970275	d__Bacteria; p__Firmicutes_A; c__Thermoanaerobacteria; o__Caldicellulosiruptorales; f__Caldicellulosiruptoraceae; g__Caldicellulosiruptor; s__Caldicellulosiruptor saccharolyticus
G000016565	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas_E	 Pseudomonas_E mendocina_A	5072807	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas_E; s__Pseudomonas_E mendocina_A
G000016605	Archaea	 Thermoproteota	 Thermoproteia	 Sulfolobales	 Sulfolobaceae	 Metallosphaera	 Metallosphaera sedula	2191517	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Sulfolobaceae; g__Metallosphaera; s__Metallosphaera sedula
G000016645	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium johnsoniae	6096872	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium johnsoniae
G000016665	Bacteria	 Chloroflexota	 Chloroflexia	 Chloroflexales	 Roseiflexaceae	 Roseiflexus	 Roseiflexus sp000016665	5801598	d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__Roseiflexus; s__Roseiflexus sp000016665
G000016705	Bacteria	 Chloroflexota	 Dehalococcoidia	 Dehalococcoidales	 Dehalococcoidaceae	 Dehalococcoides	 Dehalococcoides mccartyi_B	1341892	d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Dehalococcoidales; f__Dehalococcoidaceae; g__Dehalococcoides; s__Dehalococcoides mccartyi_B
G000016745	Bacteria	 Desulfobacterota	 Desulfuromonadia	 Geobacterales	 Geobacteraceae	 Geotalea	 Geotalea uraniireducens	5136364	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Geotalea; s__Geotalea uraniireducens
G000016765	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Rhizorhabdus	 Rhizorhabdus wittichii	5915286	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Rhizorhabdus; s__Rhizorhabdus wittichii
G000016785	Bacteria	 Thermotogota	 Thermotogae	 Thermotogales	 Thermotogaceae	 Thermotoga	 Thermotoga petrophila	1823511	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales; f__Thermotogaceae; g__Thermotoga; s__Thermotoga petrophila
G000016825	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus reuteri	1999618	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus reuteri
G000016885	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Psychrobacter	 Psychrobacter sanguinis_A	2995089	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__Psychrobacter sanguinis_A
G000016905	Bacteria	 Thermotogota	 Thermotogae	 Thermotogales	 Fervidobacteriaceae	 Thermosipho	 Thermosipho melanesiensis	1915238	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales; f__Fervidobacteriaceae; g__Thermosipho; s__Thermosipho melanesiensis
G000016985	Bacteria	 Firmicutes_A	 Clostridia	 Peptostreptococcales	 Natronincolaceae	 Alkaliphilus_A	 Alkaliphilus_A metalliredigens	4929566	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Peptostreptococcales; f__Natronincolaceae; g__Alkaliphilus_A; s__Alkaliphilus_A metalliredigens
G000017005	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 Streptococcus gordonii	2196662	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus gordonii
G000017045	Bacteria	 Firmicutes_A	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_F	 Clostridium_F botulinum	3760560	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_F; s__Clostridium_F botulinum
G000017105	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Coxiellales	 Coxiellaceae	 Coxiella	 Coxiella burnetii	2212957	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella; s__Coxiella burnetii
G000017145	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Sinorhizobium	 Sinorhizobium medicae	6817636	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Sinorhizobium; s__Sinorhizobium medicae
G000017165	Archaea	 Methanobacteriota_A	 Methanococci	 Methanococcales	 Methanococcaceae	 Methanococcus	 Methanococcus vannielii	1720048	d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__Methanococcus vannielii
G000017185	Archaea	 Methanobacteriota_A	 Methanococci	 Methanococcales	 Methanococcaceae	 Methanothermococcus_A	 Methanothermococcus_A aeolicus	1569500	d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanothermococcus_A; s__Methanothermococcus_A aeolicus
G000017225	Archaea	 Methanobacteriota_A	 Methanococci	 Methanococcales	 Methanococcaceae	 Methanococcus	 Methanococcus maripaludis_A	1772694	d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__Methanococcus maripaludis_A
G000017245	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Pasteurellaceae	 Basfia_A	 Basfia_A succinogenes	2319663	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Basfia_A; s__Basfia_A succinogenes
G000017265	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	 Phenylobacterium zucineum	4379251	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__Phenylobacterium zucineum
G000017305	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Kineococcaceae	 Kineococcus	 Kineococcus radiotolerans	4956712	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Kineococcaceae; g__Kineococcus; s__Kineococcus radiotolerans
G000017405	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales_A	 Rhizobiaceae_A	 Brucella	 	5205877	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A; f__Rhizobiaceae_A; g__Brucella; s__
G000017425	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_G	 Bacillus_A	 Bacillus_A cytotoxicus	4094179	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A; s__Bacillus_A cytotoxicus
G000017465	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter_A	 Campylobacter_A curvus	1971270	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter_A; s__Campylobacter_A curvus
G000017505	Bacteria	 Myxococcota	 Myxococcia	 Myxococcales	 Anaeromyxobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter sp000017505	5277990	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Anaeromyxobacteraceae; g__Anaeromyxobacter; s__Anaeromyxobacter sp000017505
G000017545	Bacteria	 Thermotogota	 Thermotogae	 Thermotogales	 Fervidobacteriaceae	 Fervidobacterium	 Fervidobacterium nodosum	1948941	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales; f__Fervidobacteriaceae; g__Fervidobacterium; s__Fervidobacterium nodosum
G000017565	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Parvibaculales	 Parvibaculaceae	 Parvibaculum	 Parvibaculum lavamentivorans	3914745	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__Parvibaculum; s__Parvibaculum lavamentivorans
G000017585	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter_B	 Campylobacter_B hominis	1714971	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter_B; s__Campylobacter_B hominis
G000017625	Archaea	 Halobacteriota	 Methanomicrobia	 Methanomicrobiales	 Methanoregulaceae	 Methanoregula	 Methanoregula boonei	2542943	d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; g__Methanoregula; s__Methanoregula boonei
G000017645	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Xanthobacter	 Xanthobacter autotrophicus	5625118	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Xanthobacter; s__Xanthobacter autotrophicus
G000017685	Bacteria	 Spirochaetota	 Leptospirae	 Leptospirales	 Leptospiraceae	 Leptospira_A	 Leptospira_A biflexa	3951488	d__Bacteria; p__Spirochaetota; c__Leptospirae; o__Leptospirales; f__Leptospiraceae; g__Leptospira_A; s__Leptospira_A biflexa
G000017705	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Vibrionaceae	 Vibrio	 Vibrio campbellii	6058417	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Vibrionaceae; g__Vibrio; s__Vibrio campbellii
G000017785	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Francisellales	 Francisellaceae	 Francisella	 Francisella tularensis	1890909	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Francisellales; f__Francisellaceae; g__Francisella; s__Francisella tularensis
G000017805	Bacteria	 Chloroflexota	 Chloroflexia	 Chloroflexales	 Roseiflexaceae	 Roseiflexus	 Roseiflexus castenholzii	5723298	d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__Roseiflexus; s__Roseiflexus castenholzii
G000017845	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Cyanobacteriales	 Microcystaceae_A	 Crocosphaera	 Crocosphaera subtropica	5460477	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Microcystaceae_A; g__Crocosphaera; s__Crocosphaera subtropica
G000017865	Bacteria	 Thermotogota	 Thermotogae	 Thermotogales	 DSM-5069	 Pseudothermotoga_B	 Pseudothermotoga_B elfii	2135342	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales; f__DSM-5069; g__Pseudothermotoga_B; s__Pseudothermotoga_B elfii
G000017945	Archaea	 Thermoproteota	 Thermoproteia	 Sulfolobales	 Ignicoccaceae	 Ignicoccus_A	 Ignicoccus_A hospitalis	1297538	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Ignicoccaceae; g__Ignicoccus_A; s__Ignicoccus_A hospitalis
G000018025	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Shewanellaceae	 Shewanella	 Shewanella sediminis	5517674	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella; s__Shewanella sediminis
G000018105	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Thermosynechococcales	 Thermosynechococcaceae	 Acaryochloris	 Acaryochloris marina	8361779	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Thermosynechococcales; f__Thermosynechococcaceae; g__Acaryochloris; s__Acaryochloris marina
G000018145	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Dinoroseobacter	 Dinoroseobacter shibae	4417968	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Dinoroseobacter; s__Dinoroseobacter shibae
G000018205	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsia	 Rickettsia akari	1231060	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia akari
G000018245	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsia	 Rickettsia bellii	1528980	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia bellii
G000018265	Bacteria	 Actinobacteriota	 Actinomycetia	 Mycobacteriales	 Micromonosporaceae	 Micromonospora	 Micromonospora arenicola	5786361	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Micromonospora; s__Micromonospora arenicola
G000018285	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Shewanellaceae	 Shewanella	 Shewanella pealeana	5174581	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella; s__Shewanella pealeana
G000018305	Archaea	 Thermoproteota	 Thermoproteia	 Thermoproteales	 Thermocladiaceae	 Caldivirga	 Caldivirga maquilingensis	2077567	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermoproteales; f__Thermocladiaceae; g__Caldivirga; s__Caldivirga maquilingensis
G000018325	Bacteria	 Firmicutes_A	 Clostridia	 Peptostreptococcales	 Natronincolaceae	 Alkaliphilus_B	 Alkaliphilus_B oremlandii	3123558	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Peptostreptococcales; f__Natronincolaceae; g__Alkaliphilus_B; s__Alkaliphilus_B oremlandii
G000018365	Archaea	 Methanobacteriota_B	 Thermococci	 Thermococcales	 Thermococcaceae	 Thermococcus	 Thermococcus onnurineus	1847607	d__Archaea; p__Methanobacteriota_B; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__Thermococcus onnurineus
G000018405	Bacteria	 Desulfobacterota	 Desulfobacteria	 Desulfobacterales	 Desulfosudaceae	 Desulfosudis	 Desulfosudis oleovorans	3944167	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosudaceae; g__Desulfosudis; s__Desulfosudis oleovorans
G000018425	Bacteria	 Firmicutes_B	 Desulfotomaculia	 Ammonifexales	 Desulforudaceae	 Desulforudis	 Desulforudis audaxviator	2349476	d__Bacteria; p__Firmicutes_B; c__Desulfotomaculia; o__Ammonifexales; f__Desulforudaceae; g__Desulforudis; s__Desulforudis audaxviator
G000018465	Archaea	 Thermoproteota	 Nitrososphaeria	 Nitrososphaerales	 Nitrosopumilaceae	 Nitrosopumilus	 Nitrosopumilus maritimus	1645259	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus maritimus
G000018485	Archaea	 Methanobacteriota_A	 Methanococci	 Methanococcales	 Methanococcaceae	 Methanococcus	 Methanococcus maripaludis_C	1744193	d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__Methanococcus maripaludis_C
G000018545	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Sinorhizobium	 Sinorhizobium fredii_A	6891940	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Sinorhizobium; s__Sinorhizobium fredii_A
G000018565	Bacteria	 Chloroflexota	 Chloroflexia	 Chloroflexales	 Herpetosiphonaceae	 Herpetosiphon	 Herpetosiphon aurantiacus	6785470	d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales; f__Herpetosiphonaceae; g__Herpetosiphon; s__Herpetosiphon aurantiacus
G000018585	Bacteria	 Cyanobacteria	 Cyanobacteriia	 PCC-6307	 Cyanobiaceae	 Prochlorococcus_D	 Prochlorococcus_D marinus_B	1688963	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Prochlorococcus_D; s__Prochlorococcus_D marinus_B
G000018605	Bacteria	 Thermotogota	 Thermotogae	 Petrotogales	 Petrotogaceae	 Petrotoga	 Petrotoga mobilis	2169548	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Petrotogales; f__Petrotogaceae; g__Petrotoga; s__Petrotoga mobilis
G000018665	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Comamonas	 Comamonas acidovorans	6767514	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Comamonas; s__Comamonas acidovorans
G000018685	Bacteria	 Firmicutes_A	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Lachnoclostridium	 Lachnoclostridium phytofermentans	4847594	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium; s__Lachnoclostridium phytofermentans
G000018785	Bacteria	 Firmicutes	 Bacilli	 Acholeplasmatales	 Acholeplasmataceae	 Acholeplasma	 Acholeplasma laidlawii	1496992	d__Bacteria; p__Firmicutes; c__Bacilli; o__Acholeplasmatales; f__Acholeplasmataceae; g__Acholeplasma; s__Acholeplasma laidlawii
G000018865	Bacteria	 Chloroflexota	 Chloroflexia	 Chloroflexales	 Chloroflexaceae	 Chloroflexus	 Chloroflexus aurantiacus	5258541	d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales; f__Chloroflexaceae; g__Chloroflexus; s__Chloroflexus aurantiacus
G000018885	Bacteria	 Actinobacteriota	 Actinomycetia	 Actinomycetales	 Micrococcaceae	 Renibacterium	 Renibacterium salmoninarum	3155250	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Renibacterium; s__Renibacterium salmoninarum
G000018945	Bacteria	 Thermotogota	 Thermotogae	 Thermotogales	 Thermotogaceae	 Thermotoga	 Thermotoga neapolitana	1884562	d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales; f__Thermotogaceae; g__Thermotoga; s__Thermotoga neapolitana
G000019165	Bacteria	 Firmicutes_B	 Desulfitobacteriia	 Heliobacteriales	 Heliobacteriaceae	 Heliomicrobium	 Heliomicrobium modesticaldum	3075407	d__Bacteria; p__Firmicutes_B; c__Desulfitobacteriia; o__Heliobacteriales; f__Heliobacteriaceae; g__Heliomicrobium; s__Heliomicrobium modesticaldum
G000019205	Bacteria	 Campylobacterota	 Campylobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter_D	 Campylobacter_D lari	1571681	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter_D; s__Campylobacter_D lari
G000019225	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Cellvibrionaceae	 Cellvibrio	 Cellvibrio japonicus	4576573	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Cellvibrio; s__Cellvibrio japonicus
G000019285	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Francisellales	 Francisellaceae	 Francisella	 Francisella philomiragia	2049731	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Francisellales; f__Francisellaceae; g__Francisella; s__Francisella philomiragia
G000019365	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium	 Methylobacterium sp000019365	7737065	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium sp000019365
G000019405	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Pasteurellaceae	 Histophilus	 Histophilus somni	2263857	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Histophilus; s__Histophilus somni
G000019485	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Cyanobacteriales	 Cyanobacteriaceae	 Limnothrix	 Limnothrix sp001693275	3410055	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Cyanobacteriaceae; g__Limnothrix; s__Limnothrix sp001693275
G000019525	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Shewanellaceae	 Shewanella	 Shewanella woodyi	5935403	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Shewanellaceae; g__Shewanella; s__Shewanella woodyi
G000019605	Archaea	 Thermoproteota	 Korarchaeia	 Korarchaeales	 Korarchaeaceae	 Korarchaeum	 Korarchaeum cryptofilum	1590757	d__Archaea; p__Thermoproteota; c__Korarchaeia; o__Korarchaeales; f__Korarchaeaceae; g__Korarchaeum; s__Korarchaeum cryptofilum
G000019665	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Methylacidiphilales	 Methylacidiphilaceae	 Methylacidiphilum	 Methylacidiphilum infernorum	2287145	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum infernorum
G000019685	Bacteria	 Spirochaetota	 Spirochaetia	 Borreliales	 Borreliaceae	 Borrelia	 Borrelia recurrentis	1575201	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Borreliales; f__Borreliaceae; g__Borrelia; s__Borrelia recurrentis
G000019705	Bacteria	 Spirochaetota	 Spirochaetia	 Borreliales	 Borreliaceae	 Borrelia	 Borrelia recurrentis	1242303	d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Borreliales; f__Borreliaceae; g__Borrelia; s__Borrelia recurrentis
G000019725	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium	 Methylobacterium organophilum	6899270	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium organophilum
G000019745	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Polynucleobacter	 Polynucleobacter necessarius_D	1560469	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__Polynucleobacter necessarius_D
G000019785	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Leptothrix	 Leptothrix cholodnii	4909403	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Leptothrix; s__Leptothrix cholodnii
G000019805	Archaea	 Thermoproteota	 Thermoproteia	 Thermoproteales	 Thermoproteaceae	 Pyrobaculum	 Pyrobaculum neutrophilum	1769823	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__Pyrobaculum neutrophilum
G000019845	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Beijerinckia	 Beijerinckia indica	4418656	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Beijerinckia; s__Beijerinckia indica
G000019905	Bacteria	 Firmicutes	 Bacilli	 Exiguobacterales	 Exiguobacteraceae	 Exiguobacterium_A	 Exiguobacterium_A sibiricum	3040826	d__Bacteria; p__Firmicutes; c__Bacilli; o__Exiguobacterales; f__Exiguobacteraceae; g__Exiguobacterium_A; s__Exiguobacterium_A sibiricum
G000019945	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium	 Methylobacterium thiocyanatum	5849037	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium thiocyanatum
G000019965	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Opitutus	 Opitutus terrae	5957605	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__Opitutus terrae
G000020005	Bacteria	 Firmicutes_D	 Natranaerobiia	 Natranaerobiales	 Natranaerobiaceae	 Natranaerobius	 Natranaerobius thermophilus	3191493	d__Bacteria; p__Firmicutes_D; c__Natranaerobiia; o__Natranaerobiales; f__Natranaerobiaceae; g__Natranaerobius; s__Natranaerobius thermophilus
G000020025	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Cyanobacteriales	 Nostocaceae	 Nostoc	 Nostoc punctiforme	9059291	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Nostoc; s__Nostoc punctiforme
G000020045	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Paraburkholderia	 Paraburkholderia phymatum	8676622	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__Paraburkholderia phymatum
G000020145	Bacteria	 Elusimicrobiota	 Elusimicrobia	 Elusimicrobiales	 Elusimicrobiaceae	 Elusimicrobium	 Elusimicrobium minutum	1643562	d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__Elusimicrobiales; f__Elusimicrobiaceae; g__Elusimicrobium; s__Elusimicrobium minutum
G000020165	Bacteria	 Firmicutes_A	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	 Clostridium cagae	3847989	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__Clostridium cagae
